"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",1.60025
"Jan 1, 09:00 am",3.13403
"Jan 1, 10:00 am",8.54119
"Jan 1, 11:00 am",99.8411
"Jan 1, 12:00 pm",78.8943
"Jan 1, 01:00 pm",136.198
"Jan 1, 02:00 pm",183.713
"Jan 1, 03:00 pm",122.737
"Jan 1, 04:00 pm",32.6667
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",1.59041
"Jan 2, 09:00 am",16.2956
"Jan 2, 10:00 am",18.6823
"Jan 2, 11:00 am",88.8351
"Jan 2, 12:00 pm",100.171
"Jan 2, 01:00 pm",131.857
"Jan 2, 02:00 pm",141.789
"Jan 2, 03:00 pm",52.7236
"Jan 2, 04:00 pm",20.5181
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0
"Jan 3, 09:00 am",14.7919
"Jan 3, 10:00 am",17.6414
"Jan 3, 11:00 am",7.80095
"Jan 3, 12:00 pm",35.7731
"Jan 3, 01:00 pm",12.2088
"Jan 3, 02:00 pm",11.943
"Jan 3, 03:00 pm",5.32269
"Jan 3, 04:00 pm",10.2219
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0
"Jan 4, 09:00 am",4.79921
"Jan 4, 10:00 am",5.72647
"Jan 4, 11:00 am",4.76658
"Jan 4, 12:00 pm",49.8672
"Jan 4, 01:00 pm",41.8898
"Jan 4, 02:00 pm",21.4418
"Jan 4, 03:00 pm",47.6985
"Jan 4, 04:00 pm",14.662
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",24.717
"Jan 5, 09:00 am",130.498
"Jan 5, 10:00 am",207.101
"Jan 5, 11:00 am",251.939
